rank,r1_quota,r1_institute,r1_course,r1_remarks,r2_quota,r2_institute,r2_course,r2_remarks,r3_quota,r3_institute,r3_course,r3_alloted_category,r3_candidate_category,r3_option_no,r3_remarks
25804,AD,"Sparsh Super Specialty Hospital,",NDORT,Not Reported,DNB Quota,"Saraswathy Hospital, Kerala",DSUR,Not Reported,-,-,-,-,-,-,Not Allotted.
25805,-,-,-,-,Self- Financed Merit Seat,"Jawaharlal Nehru Medical College, Sawangi (Meghe), Wardha-",RADD,Reported,-,-,-,-,-,-,No Upgradation
25806,-,-,-,-,All India,Baba Raghav Das Medical College,ORTH,Reported,All India,"VSS INSTITUTE OF MEDICAL SCIENCES AND RESEARCH,BURLA,VSS INSTITUTE OF MEDICAL SCIENCES AND RESEARCH,BURLA, Odisha, 768017",M.S. (ORTHOPAEDICS),SC,SC,18,Upgraded
25808,AI,"Government Medical College, Cuddalore District",DV-L,Not Reported,All India,North Bengal Medical College,GMED,Not Reported,All India,"Silchar Medical College, Silchar,Silchar Medical College, Silchar, Assam, 788014","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREAL DISEASES)/(VENEREOLOG Y)",ST,ST,31,Fresh Allotted in 3nd Round
25809,-,-,-,-,-,-,-,-,All India,"Regional Institute of Medical Sciences, Imphal,Regional Institute of Medical Sciences, Imphal, Lamphelpat, Manipur, 795004",M.D. (ANAESTHESIOLOGY),OBC,OBC,1,Fresh Allotted in 3nd Round
25811,AD,"Regency Hospital,",NDGO,Not Reported,DNB Quota,"Jupiter Hospital,",DANS,Reported,DNB Quota,"Masina Hospital, ,Sant Savta Marg Byculla East Mumbai, Maharashtra, 400027",(NBEMS-DIPLOMA) Obstetrics and Gynaecology,Open,General,255,Upgraded
25812,AI,"Maharaja Krushna Chandra Gajapati Medical College , Brahmapur",P-SM,Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
25813,-,-,-,-,DNB Quota,"District Hospital ,",DOPH,Reported,-,-,-,-,-,-,No Upgradation
25815,PS,"MGM Medical College, Aurangabad",GMED,Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
25817,-,-,-,-,-,-,-,-,DNB Quota,"MALABAR INSTITUTE OF MEDICAL SCIENCES Ltd ,Chala East, Chala, Kannur, Kerala, 670621",(NBEMS) GENERAL SURGERY,Open,General,251,Fresh Allotted in 3nd Round
25818,-,-,-,-,Self- Financed Merit Seat,"D. Y. Patil Medical College, Kolhapur",PAED,Reported,-,-,-,-,-,-,No Upgradation
25819,-,-,-,-,All India,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,PATH,Seat Surrendered,-,-,-,-,-,-,Did not fill up fresh choices.
25821,IP,"ESI-POST GRADUATE INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, BASAIDARAPUR, NEW DELHI",OBGY,Reported,-,-,-,-,-,-,-,-,-,-,No Upgradation
25822,AD,Apollomedics Superspeciality Hospital,DANS,Reported,-,-,-,-,DNB Quota,"Medanta Hospital, Uttar Pradesh,Medanta hospital, Sec A pocket 1, Amar Shaheed Path Sushant Golf City Lucknow, Uttar Pradesh, 226030",(NBEMS) ANAESTHESIOLOGY,Open,General,18,Upgraded
25823,AI,"Government Institute of Medical Sciences, Greater Noida, Uttar Pradesh",GMED,Seat Surrendered,-,-,-,-,All India,"Dr. Sampurnanand Medical College (SNMC), JODHPUR,Dr. Sampurnanand Medical College (SNMC), JODHPUR, Rajasthan, 342001",M.D. (GENERAL MEDICINE),ST,ST,17,Fresh Allotted in 3nd Round
25826,AI,"DR. SHANKARRAO CHAVAN GOVERNMENT MEDICAL COLLEGE, NANDED",GSUR,Not Reported,-,-,-,-,All India,"INDIRA GANDHI GOVT.MEDICAL COLLEGE NAGPUR,INDIRA GANDHI GOVT.MEDICAL COLLEGE NAGPUR, Maharashtra, 440018",M.S. (GENERAL SURGERY),SC,SC,1,Fresh Allotted in 3nd Round
25828,-,-,-,-,All India,"Gauhati Medical College, Guwahati",PAED,Reported,-,-,-,-,-,-,No Upgradation
25829,AD,"Jaiprakash Hospital and Research Centre Pvt. Ltd, Odisha,",DEMM,Reported,DNB Quota,"The Mission Hospital, West Bengal",DEMM,Reported,DNB Quota,"Rabindranath Tagore International Institute of Cardiac Sciences, ,PREMISES NO. 1489 124 MUKUNDAPUR E M BYPASS KOLKATA-700099, West Bengal, 700099",(NBEMS) Emergency Medicine,Open,OBC,10,Upgraded
25830,-,-,-,-,Self- Financed Merit Seat,Sri Ramachandra Medical College and Research Institute,PAED,Reported,-,-,-,-,-,-,Did not fill up fresh choices.
25831,AI,M. P. SHAH GOVERNMENT MEDICAL COLLEGE,D-AN,Not Reported,-,-,-,-,-,-,-,-,-,-,Not Allotted.
25833,AI,"Acharya Harihar Post Graduate Institute of Cancer, Cuttack",ASTH,Not Reported,All India,Government Medical College Kota,ASTH,Reported,All India,"Rajendra Institute of Medical Sciences, Ranchi,Rajendra Institute of Medical Sciences, Ranchi, Jharkhand, 834009",M.D. (ANAESTHESIOLOGY),EWS,EWS,40,Upgraded
25834,AD,"Salem Polyclinic , Tamil Nadu",NDCH,Reported,-,-,-,-,Self- Financed Merit Seat,"Kasturba Medical College Manipal, Manipal Academy Of Higher Education, Manipal,Kasturba Medical College Manipal, Manipal Academy Of Higher Education, Manipal, Karnataka, 576104",M.D. (PAEDIATRICS),Open,General,159,Upgraded
25836,PS,Sri Ramachandra Medical College and Research Institute,GSUR,Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
25839,PS,"MGM Medical College, Navi Mumbai",GMED,Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
25841,AD,"Fortis Escorts Hospital,",DANS,Reported,DNB Quota,Dr. B L Kapur Memorial Hospital,DANS,Reported,DNB Quota,"Medanta The Medicity, ,Medanta The Medicity Sector 38 Gurgoan, Haryana, 122001",(NBEMS) ANAESTHESIOLOGY,Open,General,199,Upgraded
25842,-,-,-,-,DNB Quota,Bhagat Phool Singh Govt. Medical College for Women,NDTC,Reported,-,-,-,-,-,-,Did not fill up fresh choices.
25844,AD,"Healthway Hospital, Goa",DANS,Reported,-,-,-,-,-,-,-,-,-,-,No Upgradation
25845,-,-,-,-,-,-,-,-,All India,"Assam Medical College,Assam Medical College, Assam, 786002",M.D. (ANAESTHESIOLOGY),Open,General,21,Fresh Allotted in 3nd Round
25846,AD,"Shija Hospitals and Research Institute,",DEMM,Not Reported,DNB Quota,"Sarvodaya Hospital and Research Centre,",NDORT,Reported,DNB Quota,"YATHARTH SUPER SPECIALTY HOSPITALS, Uttar Pradesh,Sector omega 01-, Greater noida, Uttar Pradesh, 201308",(NBEMS) ORTHOPAEDICS,Open,General,206,Upgraded
25850,AI,Osmania Medical Collge,OPTH,Not Reported,-,-,-,-,All India,"KURNOOL MEDICAL COLLEGE,KURNOOL MEDICAL COLLEGE, Andhra Pradesh, 518002",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),SC,SC,24,Fresh Allotted in 3nd Round
25852,-,-,-,-,DNB Quota,"Ganga Medical Centre and Hospital,",DANS,Reported,DNB Quota,"Kovai Medical Centre, ,Kovai Medical Center and Hospital, 99, Avanashi Road, Coimbatore - 641014, Tamil Nadu, 641014",(NBEMS) ANAESTHESIOLOGY,Open,OBC,2,Upgraded
25853,AD,"Diamond Harbour Government Medical College And Hospital,",NDGO,Reported,All India,"MEDICAL COLLEGE, KOLKATA",D-GO,Reported,-,-,-,-,-,-,No Upgradation
25855,-,-,-,-,DNB Quota,"Bihar State Institute of Mental Health and Allied Sciences(BIMHAS), Bihar",DPSYN,Not Reported,-,-,-,-,-,-,Not Allotted.
25856,AI,"JAWAHARLAL NEHRU MEDICAL COLLEGE, ALIGARH MUSLIM UNIVERSITY STATE UTTAR",PATH,Not Reported,All India,CALCUTTA NATIONAL MEDICAL COLLEGE,ASTH,Reported,All India,"NETAJI SUBHASH CHANDRA BOSE MEDICAL COLLEGE, JABALPUR ,NETAJI SUBHASH CHANDRA BOSE MEDICAL COLLEGE, NAGPUR ROAD JABALPUR, Madhya Pradesh, 482003",M.S. (OPHTHALMOLOGY),OBC,OBC,397,Upgraded
25857,-,-,-,-,Self- Financed Merit Seat,"Institute of Medical Sciences and SUM Hospital, Bhubaneswar",PAED,Not Reported,-,-,-,-,-,-,Not Allotted.
25859,-,-,-,-,-,-,-,-,All India,"Rims Medical College, Ongole, ,GOVERNMENT MEDICAL COLLEGE ONGOLE, Andhra Pradesh, 523001",M.D. (ANAESTHESIOLOGY),Open,OBC,433,Fresh Allotted in 3nd Round
25861,-,-,-,-,-,-,-,-,All India,"Lokopriya Gopinath Bordoloi Regional Institute of Mental Health,LGBRIMH, Tezpur, District Sonitpur,, Assam, 784001",M.D. (PSYCHIATRY),OBC,OBC,35,Fresh Allotted in 3nd Round
25862,-,-,-,-,DNB Quota,"Dr. Raos ENT Super Speciality Hospitals, Hyderabad , Telangana",DENT,Reported,DNB Quota,"Apollo Hospital, ,NO. 21, OFF GREAMS LANE, GREAMS ROAD, CHENNAI, Tamil Nadu, 600006",(NBEMS) Otorhinolaryngology (E.N.T.),Open,General,51,Upgraded
25863,AI,"Gauhati Medical College, Guwahati",RADT,Not Reported,All India,"Atal Bihari Vajpayee Government Medical College, Vidisha",EN-T,Reported,DNB Quota,"Sagar Hospital, Karnataka,academics@sagarhospitals.in, Karnataka, 560041",(NBEMS) Neuro Surgery (Direct 6 Years Course),Open,EWS,209,Upgraded
25864,PS,"JSS Medical College, Mysuru",PSYY,Reported,Self- Financed Merit Seat,"Kasturba Medical College Manipal, Manipal Academy Of Higher Education, Manipal",PSYY,Reported,-,-,-,-,-,-,Did not opt for Upgradation.
25865,-,-,-,-,All India,"Govt. Doon Medical College, Dehradun",ASTH,Not Reported,-,-,-,-,-,-,Not Allotted.
25867,AI,ESIC Medical College and PGIMSR,ORTH,Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
25870,-,-,-,-,All India,"ESIC Medical College, Hyderbad",T-FM,Not Reported,All India,"Government Medical College Suryapet Telangana,Amaravadi Nagar Thallagadda Suryapet, Telangana, 508213",M.D. (ANAESTHESIOLOGY),Open,EWS,42,Fresh Allotted in 3nd Round
25871,PS,Sri Ramachandra Medical College and Research Institute,OBGY,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
25872,AI,"Seth Gordhandas Sunderdas Medical College, MUMBAI",ANAT,Not Reported,DNB Quota,"Daga Memorial Women Government Hospital Nagpur,",NDGO,Reported,-,-,-,-,-,-,No Upgradation
25876,-,-,-,-,DNB Quota,"GMERS Medical College,Gujarat",DANS,Reported,All India,"Government Medical College, Baramati,Plot No P-107 Opposite Women Hospital Baramati MIDC Area Baramati Tehsil Baramati Dist Pune, Maharashtra, 413133",M.D. (ANAESTHESIOLOGY),Open,General,1018,Upgraded
25877,-,-,-,-,All India,"Government Medical College,Theni",OBGY,Reported,All India,"GOVT MEDICAL COLLEGE, ANANTAPURAMU,GOVT MEDICAL COLLEGE, ANANTAPURAMU, Andhra Pradesh, 515001",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),SC,SC,24,Upgraded
25881,-,-,-,-,-,-,-,-,All India,"Pt. Jawahar Lal Nehru Memorial Medical College, RAIPUR,Pt. Jawahar Lal Nehru Memorial Medical College, RAIPUR, Chhattisgarh, 492001",M.D. (Radiotherapy/ Radiation Oncology),OBC,OBC,96,Fresh Allotted in 3nd Round
25883,AD,"Dhir Hospital,",DOPH,Not Reported,DNB Quota,"Narayana Hrudayalaya Hospital, (NH-Narayana Health City, Bangalore)",DANS,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.
25885,PS,"Institute of Medical Sciences and SUM Hospital, Bhubaneswar",PAED,Seat Surrendered,-,-,-,-,-,-,-,-,-,-,Not Allotted.
25886,AD,"Govt. BDK hospital, govt.",NDGO,Not Reported,DNB Quota,"GMERS Medical College and Hospital, Porbandar, (Formerly known as Bhavsinhji and Maharani Rupaliba General Hospital), Gujarat",DENT,Reported,-,-,-,-,-,-,No Upgradation
25890,-,-,-,-,-,-,-,-,All India,"Uttar Pradesh University of Medical Sciences, Saifai, Etawah,Uttar Pradesh University of Medical Sciences, Saifai, Etawah, Uttar Pradesh, 206130",M.D. (ANAESTHESIOLOGY),EWS,EWS,38,Fresh Allotted in 3nd Round
25891,AD,"KMC Specialty Hospital,",NDGO,Seat Surrendered,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
25892,AD,"Sir Ivan Stedford Hospital, Ambattur, Chennai, Tamil Nadu-53",NDCH,Reported,DNB Quota,"The Voluntary Health Services and Medical Centre,",NDCH,Reported,DNB Quota,"Government Head Quarters Hospital,,GOVERNMENT HEADQUARTERS HOSPITAL AND DNB POST GRADUATE TEACHING INSTITUTE,EVN ROAD, ERODE, Tamil Nadu, 638009",(NBEMS-DIPLOMA) PAEDIATRICS,OBC,OBC,157,Upgraded
25895,-,-,-,-,-,-,-,-,DNB Quota,"Fortis Hospital, Shalimar Bagh,A- Block, Shalimar Bagh, Delhi (NCT), 110088",(NBEMS) Emergency Medicine,Open,General,169,Fresh Allotted in 3nd Round
25896,-,-,-,-,DNB Quota,"Sri Gokulam Hospital,",DEMM,Not Reported,DNB Quota,"Kannur Medical College Hospital, Anjarakandy Po, Kannur, Kerala-670612,KANNUR MEDICAL COLLEGE ANJARAKANDY (POST) KANNUR - DISTRICT",(NBEMS) Emergency Medicine,Open,OBC,38,Fresh Allotted in 3nd Round
25900,AI,"Gandhi Medical College, Bhopal",PATH,Not Reported,-,-,-,-,-,-,-,-,-,-,Not Allotted.
25901,-,-,-,-,-,-,-,-,All India,"GOVT MEDICAL COLLEGE, ANANTAPURAMU,GOVT MEDICAL COLLEGE, ANANTAPURAMU, Andhra Pradesh, 515001",M.S. (E.N.T.),OBC,OBC,130,Fresh Allotted in 3nd Round
